season,team_name,role,name
2000,Baltimore Ravens,Owner,Art Modell
2000,Baltimore Ravens,Head coach,Brian Billick
2000,Baltimore Ravens,Assistant head coach/secondary,Steve Shafer
2000,Baltimore Ravens,Offensive coordinator,Matt Cavanaugh
2000,Baltimore Ravens,Running backs,Matt Simon
2000,Baltimore Ravens,Wide receivers,Milt Jackson
2000,Baltimore Ravens,Tight ends/assistant offensive line,Wade Harman
2000,Baltimore Ravens,Offensive line,Jim Colletto
2000,Baltimore Ravens,Defensive coordinator,Marvin Lewis
2000,Baltimore Ravens,Defensive line,Rex Ryan
2000,Baltimore Ravens,Linebackers,Jack Del Rio
2000,Baltimore Ravens,Defensive backs,Donnie Henderson
2000,Baltimore Ravens,Defensive assistant/defensive line,Mike Smith
2000,Baltimore Ravens,Special teams coordinator,Russ Purnell
2000,Baltimore Ravens,Assistant special teams,Paul McCord
2000,Baltimore Ravens,Assistant special teams,Bennie Thompson
2000,Baltimore Ravens,Head athletic trainer,Bill Tessendorf
2000,Baltimore Ravens,Head strength and conditioning,Jeff Friday
2000,Baltimore Ravens,Assistant strength and conditioning,Chip Morton
2000,Baltimore Ravens,Assistant strength and conditioning,Paul Ricci
2000,Buffalo Bills,President,Ralph Wilson
2000,Buffalo Bills,Executive vice president/general manager,John Butler
2000,Buffalo Bills,Vice president of player personnel,Dwight Adams
2000,Buffalo Bills,Director of pro personnel,A. J. Smith
2000,Buffalo Bills,Head coach/vice president of football operations,Wade Phillips
2000,Buffalo Bills,Offensive coordinator,Joe Pendry
2000,Buffalo Bills,Quarterbacks,Turk Schonert
2000,Buffalo Bills,Running backs,James Saxon
2000,Buffalo Bills,Wide receivers,Charlie Joiner
2000,Buffalo Bills,Tight ends,Max Bowman
2000,Buffalo Bills,Offensive line,Carl Mauck
2000,Buffalo Bills,Offensive quality control,Chris Dickson
2000,Buffalo Bills,Defensive coordinator,Ted Cottrell
2000,Buffalo Bills,Defensive line,John Levra
2000,Buffalo Bills,Linebackers,Chuck Lester
2000,Buffalo Bills,Defensive backs,Bill Bradley
2000,Buffalo Bills,Special teams,Ronnie Jones
2000,Buffalo Bills,Strength and conditioning coordinator,Rusty Jones
2000,Carolina Panthers,Owner/founder,Jerry Richardson
2000,Carolina Panthers,President,Mark Richardson
2000,Carolina Panthers,Director of football operations,Marty Hurney
2000,Carolina Panthers,Director of player personnel,Jack Bushofsky
2000,Carolina Panthers,Head coach,George Seifert
2000,Carolina Panthers,Offensive coordinator,Bill Musgrave
2000,Carolina Panthers,Running backs,Chick Harris
2000,Carolina Panthers,Tight ends,Don Breaux
2000,Carolina Panthers,Offensive line,Tony Wise
2000,Carolina Panthers,Offensive assistant/quarterbacks,Mike McCoy
2000,Carolina Panthers,Offensive assistant,Greg Roman
2000,Carolina Panthers,Assistant head coach/defensive coordinator,John Marshall
2000,Carolina Panthers,Defensive line,Jacob Burney
2000,Carolina Panthers,Linebackers,Sam Mills
2000,Carolina Panthers,Defensive Backs (Secondary),Carlos Mainord
2000,Carolina Panthers,Defensive assistant,Alvin Reynolds
2000,Carolina Panthers,Special teams,Scott O'Brien
2000,Carolina Panthers,Strength and conditioning,Jerry Simmons
2000,Chicago Bears,Chairman emeritus,Ed McCaskey
2000,Chicago Bears,Chairman of the board,Michael McCaskey
2000,Chicago Bears,Secretary,Virginia Halas McCaskey
2000,Chicago Bears,President and CEO,Ted Phillips
2000,Chicago Bears,Vice president of player personnel,Mark Hatley
2000,Chicago Bears,Director of college scouting,Bill Rees
2000,Chicago Bears,Director of pro personnel,Scott Campbell
2000,Chicago Bears,Head coach,Dick Jauron
2000,Chicago Bears,Offensive coordinator,Gary Crowton
2000,Chicago Bears,Quarterbacks/Interim Offensive Coordinator,John Shoop
2000,Chicago Bears,Running backs,Earle Mosley
2000,Chicago Bears,Wide receivers,Mike Borich
2000,Chicago Bears,Tight ends,Jim Bollman
2000,Chicago Bears,Offensive line,Bob Wylie
2000,Chicago Bears,Offensive quality control,Eric Studesville
2000,Chicago Bears,Defensive coordinator,Greg Blache
2000,Chicago Bears,Defensive line,Rex Norris
2000,Chicago Bears,Linebackers,Dale Lindsey
2000,Chicago Bears,Defensive backs,Vance Bedford
2000,Chicago Bears,Defensive quality control,Chuck Bullough
2000,Chicago Bears,Special teams,Keith Armstrong
2000,Chicago Bears,Physical development coordinator,Russ Riederer
2000,Chicago Bears,Assistant physical development coordinator,Steve Little
2000,Cleveland Browns,Owner and chairman,Alfred Lerner
2000,Cleveland Browns,President and chief executive officer,Carmen Policy
2000,Cleveland Browns,Executive vice president/director of football operations,Dwight Clark
2000,Cleveland Browns,Executive director of player personnel,Joe Collins
2000,Cleveland Browns,Director of college personnel,Phil Neri
2000,Cleveland Browns,Director of pro personnel,Keith Kidd
2000,Cleveland Browns,Head coach,Chris Palmer
2000,Cleveland Browns,Offensive coordinator,Pete Carmichael
2000,Cleveland Browns,Quarterbacks,John Hufnagel
2000,Cleveland Browns,Running backs,Ray Perkins
2000,Cleveland Browns,Wide receivers,Jerry Butler
2000,Cleveland Browns,Tight Ends/Offensive Assistant,Pete Carmichael Jr.
2000,Cleveland Browns,Offensive line,Tony Sparano
2000,Cleveland Browns,Defensive coordinator/defensive line,Romeo Crennel
2000,Cleveland Browns,Linebackers,Keith Butler
2000,Cleveland Browns,Defensive backs,Jerry Holmes
2000,Cleveland Browns,Defensive assistant,Mike Pitts
2000,Cleveland Browns,Special teams,Mark Michaels
2000,Cleveland Browns,Special teams/defensive assistant,Jon Fabris
2000,Cleveland Browns,Head strength and conditioning,Tim Jorgensen
2000,Cleveland Browns,Assistant strength/pass rush consultant,Joe Kim
2000,Denver Broncos,President and chief executive officer,Pat Bowlen
2000,Denver Broncos,General manager,Neal Dahlen
2000,Denver Broncos,Head coach/vice president of football operations,Mike Shanahan
2000,Denver Broncos,Assistant head coach/offensive line,Alex Gibbs
2000,Denver Broncos,Offensive coordinator/quarterbacks,Gary Kubiak
2000,Denver Broncos,Running backs,Bobby Turner
2000,Denver Broncos,Wide receivers,Karl Dorrell
2000,Denver Broncos,Tight ends,Brian Pariani
2000,Denver Broncos,Offensive assistant,Pat McPherson
2000,Denver Broncos,Defensive coordinator,Greg Robinson
2000,Denver Broncos,Defensive line,George Dyer
2000,Denver Broncos,Linebackers,Larry Coyer
2000,Denver Broncos,Defensive backs,Ron Milus
2000,Denver Broncos,Nickel package/secondary,Frank Bush
2000,Denver Broncos,Defensive assistant,Terry Tumey
2000,Denver Broncos,Pass rush specialist,John Teerlinck
2000,Denver Broncos,Special teams,Rick Dennison
2000,Denver Broncos,Special teams assistant,Anthony Lynn
2000,Denver Broncos,Strength and conditioning,Rich Tuten
2000,Denver Broncos,Assistant strength and conditioning,Greg Saporta
2000,Detroit Lions,Owner and chairman,William Clay Ford Sr.
2000,Detroit Lions,Vice chairman,William Clay Ford Jr.
2000,Detroit Lions,Executive vice president and coo,Chuck Schmidt
2000,Detroit Lions,Vice president of football operations,Larry Lee
2000,Detroit Lions,Vice president of player personnel,Ron Hughes
2000,Detroit Lions,Director of pro personnel,Sheldon White
2000,Detroit Lions,Head coach,Bobby Ross
2000,Detroit Lions,Offensive coordinator,Sylvester Croom
2000,Detroit Lions,Quarterbacks,Jim Zorn
2000,Detroit Lions,Running backs,Frank Falks
2000,Detroit Lions,Wide receivers,Jerry Sullivan
2000,Detroit Lions,Tight ends,Danny Smith
2000,Detroit Lions,Offensive line,Golden Pat Ruel
2000,Detroit Lions,Offensive assistant/special teams assistant,Stan Kwan
2000,Detroit Lions,Quality control/offense,John Misciagna
2000,Detroit Lions,Defensive coordinator,Larry Peccatiello
2000,Detroit Lions,Defensive line,Brian Baker
2000,Detroit Lions,Linebackers,Gary Moeller
2000,Detroit Lions,Defensive backs,Richard Selcer
2000,Detroit Lions,Defensive assistant,Don Clemons
2000,Detroit Lions,Quality control/defense,Dennis Murphy
2000,Detroit Lions,Special teams,Chuck Priefer
2000,Detroit Lions,Strength and conditioning,Bert Hill
2000,Detroit Lions,Assistant strength and conditioning,Rob Graf
2000,Green Bay Packers,President and chief executive officer,Bob Harlan
2000,Green Bay Packers,Senior vice president of administration,John Jones
2000,Green Bay Packers,Executive vice president/general manager,Ron Wolf
2000,Green Bay Packers,Vice president of personnel,Ken Herock
2000,Green Bay Packers,Director of player finance/football operations,Andrew Brandt
2000,Green Bay Packers,Director of college scouting,John Dorsey
2000,Green Bay Packers,Director of pro personnel,Reggie McKenzie
2000,Green Bay Packers,Pro personnel assistant,Vince Workman
2000,Green Bay Packers,Head coach,Mike Sherman
2000,Green Bay Packers,Offensive coordinator,Tom Rossley
2000,Green Bay Packers,Running backs,Kippy Brown
2000,Green Bay Packers,Wide receivers,Ray Sherman
2000,Green Bay Packers,Tight ends,Jeff Jagodzinski
2000,Green Bay Packers,Offensive line,Larry Beightol
2000,Green Bay Packers,Assistant offensive line,Rich McGeorge
2000,Green Bay Packers,Offensive assistant/quality control,Darrell Bevell
2000,Green Bay Packers,Offensive assistant/quality control,Trent Miles
2000,Green Bay Packers,Defensive coordinator,Ed Donatell
2000,Green Bay Packers,Defensive line,Jethro Franklin
2000,Green Bay Packers,Linebackers,Bo Pelini
2000,Green Bay Packers,Defensive backs,Bob Slowik
2000,Green Bay Packers,Assistant defensive backs,Lionel Washington
2000,Green Bay Packers,Defensive assistant/quality control,Billy Davis
2000,Green Bay Packers,Special teams,Frank Novak
2000,Green Bay Packers,Strength and conditioning,Barry Rubin
2000,Green Bay Packers,Strength and conditioning assistant,Mark Lovat
2000,Indianapolis Colts,Owner and chief executive officer,Jim Irsay
2000,Indianapolis Colts,President,Bill Polian
2000,Indianapolis Colts,Director of football operations,Dom Anile
2000,Indianapolis Colts,Director of pro player personnel,Clyde Powers
2000,Indianapolis Colts,Director of player development,Steve Champlin
2000,Indianapolis Colts,Coordinator of player personnel,John Becker
2000,Indianapolis Colts,Director of pro scouting,Chris Polian
2000,Indianapolis Colts,Director of college scouting,Mike Butler
2000,Indianapolis Colts,Head coach,Jim E. Mora
2000,Indianapolis Colts,Assistant head coach/defensive backs,George Catavolos
2000,Indianapolis Colts,Offensive coordinator,Tom Moore
2000,Indianapolis Colts,Quarterbacks,Bruce Arians
2000,Indianapolis Colts,Running backs,Gene Huey
2000,Indianapolis Colts,Receivers,Jay Norvell
2000,Indianapolis Colts,Tight ends,Tony Marciano
2000,Indianapolis Colts,Offensive line,Howard Mudd
2000,Indianapolis Colts,Defensive coordinator,Vic Fangio
2000,Indianapolis Colts,Defensive line,Todd Grantham
2000,Indianapolis Colts,Linebackers,Mike Murphy
2000,Indianapolis Colts,Defensive assistant,John Pagano
2000,Indianapolis Colts,Special teams,Kevin Spencer
2000,Indianapolis Colts,Strength and conditioning,Jon Torine
2000,Indianapolis Colts,Assistant strength and conditioning,Richard Howell
2000,Jacksonville Jaguars,Chairman/chief executive officer,Wayne Weaver
2000,Jacksonville Jaguars,Senior vice president of football operations,Michael Huyghue
2000,Jacksonville Jaguars,Director of player personnel,Rick Reiprish
2000,Jacksonville Jaguars,Director of college scouting,Gene Smith
2000,Jacksonville Jaguars,Director of pro scouting,Fran Foley
2000,Jacksonville Jaguars,College scout,Louis Clark
2000,Jacksonville Jaguars,Head coach,Tom Coughlin
2000,Jacksonville Jaguars,Quarterbacks,Bobby Petrino
2000,Jacksonville Jaguars,Running backs,Jerald Ingram
2000,Jacksonville Jaguars,Wide receivers,John McNulty
2000,Jacksonville Jaguars,Tight ends,Fred Hoaglin
2000,Jacksonville Jaguars,Offensive line,Mike Maser
2000,Jacksonville Jaguars,Offensive quality control,Garrick McGee
2000,Jacksonville Jaguars,Defensive coordinator,Dom Capers
2000,Jacksonville Jaguars,Defensive line,John Pease
2000,Jacksonville Jaguars,Linebackers,Steve Szabo
2000,Jacksonville Jaguars,Outside linebackers,Lucious Selmon
2000,Jacksonville Jaguars,Defensive backs,Perry Fewell
2000,Jacksonville Jaguars,Defensive quality control,Lane Kiffin
2000,Jacksonville Jaguars,Special teams coordinator,Frank Gansz
2000,Jacksonville Jaguars,Strength and conditioning,Jerry Palmieri
2000,Jacksonville Jaguars,Assistant strength and conditioning,Greg Finnegan
2000,Kansas City Chiefs,Founder,Lamar Hunt
2000,Kansas City Chiefs,Chairman of the board,Jack Steadman
2000,Kansas City Chiefs,President/general manager/chief executive officer,Carl Peterson
2000,Kansas City Chiefs,Executive vice president/assistant general manager,Dennis Thum
2000,Kansas City Chiefs,Director of pro personnel,Bill Kuharich
2000,Kansas City Chiefs,Head coach,Gunther Cunningham
2000,Kansas City Chiefs,Assistant head coach/defensive backs,Willie Shaw
2000,Kansas City Chiefs,Offensive coordinator,Jimmy Raye
2000,Kansas City Chiefs,Quarterbacks,Tom Clements
2000,Kansas City Chiefs,Running backs,Al Lavan
2000,Kansas City Chiefs,Wide receivers,Richard Mann
2000,Kansas City Chiefs,Tight ends,Keith Rowen
2000,Kansas City Chiefs,Offensive line,Mike Solari
2000,Kansas City Chiefs,Offensive assistant/quality control,Jim Hostler
2000,Kansas City Chiefs,Defensive coordinator,Kurt Schottenheimer
2000,Kansas City Chiefs,Defensive line,Bob Karmelowicz
2000,Kansas City Chiefs,Assistant defensive line,Tom Pratt
2000,Kansas City Chiefs,Linebackers,Joe Vitt
2000,Kansas City Chiefs,Defensive assistant/quality control,Darvin Wallis
2000,Kansas City Chiefs,Special teams,Mike Stock
2000,Kansas City Chiefs,Strength and conditioning,Jeff Hurd
2000,Kansas City Chiefs,Assistant strength and conditioning,Jeff Fish
2000,Miami Dolphins,Owner/chairman of the board,Wayne Huizenga
2000,Miami Dolphins,President/chief operating officer,Eddie Jones
2000,Miami Dolphins,Senior vice president of business operations,Bryan Wiedmeier
2000,Miami Dolphins,Vice president of player personnel,Rick Spielman
2000,Miami Dolphins,Director of college scouting,Ron Labadie
2000,Miami Dolphins,Director of pro personnel,George Paton
2000,Miami Dolphins,Head coach,Dave Wannstedt
2000,Miami Dolphins,Offensive coordinator,Chan Gailey
2000,Miami Dolphins,Quarterbacks,Mike Shula
2000,Miami Dolphins,Running backs,Joel Collier
2000,Miami Dolphins,Wide receivers,Robert Ford
2000,Miami Dolphins,Tight ends,Pat Jones
2000,Miami Dolphins,Offensive line,Paul Boudreau
2000,Miami Dolphins,Offensive assistant,Judd Garrett
2000,Miami Dolphins,Defensive coordinator,Jim Bates
2000,Miami Dolphins,Defensive line,Clarence Brooks
2000,Miami Dolphins,Assistant defensive line/defensive assistant,Robert Nunn
2000,Miami Dolphins,Linebackers,Randy Shannon
2000,Miami Dolphins,Secondary,Mel Phillips
2000,Miami Dolphins,Defensive nickel package,Bill Lewis
2000,Miami Dolphins,Special teams,Mike Westhoff
2000,Miami Dolphins,Kicking,Doug Blevins
2000,Miami Dolphins,Strength and conditioning,John Gamble
2000,Miami Dolphins,Assistant strength and conditioning,Brad Roll
2000,Minnesota Vikings,Owner,Red McCombs
2000,Minnesota Vikings,President,Gary Woods
2000,Minnesota Vikings,Director of football administration,Rob Brzezinski
2000,Minnesota Vikings,Head coach/General manager,Dennis Green
2000,Minnesota Vikings,Assistant head coach/defensive backs,Richard Solomon
2000,Minnesota Vikings,Offensive coordinator,Sherman Lewis
2000,Minnesota Vikings,Quarterbacks,Alex Wood
2000,Minnesota Vikings,Running backs,Carl Hargrave
2000,Minnesota Vikings,Wide receivers,Charlie Baggett
2000,Minnesota Vikings,Tight ends,John Tice
2000,Minnesota Vikings,Offensive line,Mike Tice
2000,Minnesota Vikings,Quality control (offense),Dean Dalton
2000,Minnesota Vikings,Defensive coordinator,Emmitt Thomas
2000,Minnesota Vikings,Defensive line,Fred von Appen
2000,Minnesota Vikings,Inside linebackers,Trent Walters
2000,Minnesota Vikings,Outside linebackers,John Fontes
2000,Minnesota Vikings,Defensive quality control,Chuck Knox Jr.
2000,Minnesota Vikings,Special teams,Gary Zauner
2000,Minnesota Vikings,Strength and conditioning,Steve Wetzel
2000,Minnesota Vikings,Assistant strength and conditioning,Daryl Lawrence
2000,New England Patriots,Chairman/CEO,Robert Kraft
2000,New England Patriots,Vice chairman,Jonathan Kraft
2000,New England Patriots,Senior vice president/COO,Andy Wasynczuk
2000,New England Patriots,Assistant director of player personnel,Scott Pioli
2000,New England Patriots,Director of college scouting,Larry Cook
2000,New England Patriots,Assistant director of pro scouting,Andre Tippett
2000,New England Patriots,Football research director,Ernie Adams
2000,New England Patriots,Head coach,Bill Belichick
2000,New England Patriots,Assistant head coach/offensive line,Dante Scarnecchia
2000,New England Patriots,Offensive coordinator/running backs,Charlie Weis
2000,New England Patriots,Quarterbacks,Dick Rehbein
2000,New England Patriots,Wide receivers,Ivan Fears
2000,New England Patriots,Assistant offensive line,Jeff Davidson
2000,New England Patriots,Coaching assistant,Ned Burke
2000,New England Patriots,Coaching assistant,Brian Daboll
2000,New England Patriots,Defensive line,Randy Melvin
2000,New England Patriots,Linebackers,Rob Ryan
2000,New England Patriots,Assistant linebackers,Pepper Johnson
2000,New England Patriots,Defensive backs,Eric Mangini
2000,New England Patriots,Defensive assistant,DeWayne Walker
2000,New England Patriots,Special teams,Brad Seely
2000,New England Patriots,Coaching assistant,Mark Jackson
2000,New England Patriots,Strength and conditioning,Mike Woicik
2000,New England Patriots,Assistant strength and conditioning,Markus Paul
2000,New Orleans Saints,Owner,Tom Benson
2000,New Orleans Saints,General manager of football operations,Randy Mueller
2000,New Orleans Saints,Assistant general manager of football operations,Charles Bailey
2000,New Orleans Saints,Director of football administration,Mickey Loomis
2000,New Orleans Saints,Director of player personnel,Rick Mueller
2000,New Orleans Saints,College scouting coordinator,Rick Thompson
2000,New Orleans Saints,Head coach,Jim Haslett
2000,New Orleans Saints,Assistant head coach/secondary,Rick Venturi
2000,New Orleans Saints,Offensive coordinator,Mike McCarthy
2000,New Orleans Saints,Running backs,Dave Atkins
2000,New Orleans Saints,Wide receivers,Hubbard Alexander
2000,New Orleans Saints,Tight ends,Bob Palcic
2000,New Orleans Saints,Offensive line,Jack Henry
2000,New Orleans Saints,Offensive assistant/quality control,Phil Pettey
2000,New Orleans Saints,Defensive coordinator,Ron Zook
2000,New Orleans Saints,Defensive line,Sam Clancy
2000,New Orleans Saints,Linebackers,John Bunting
2000,New Orleans Saints,Secondary assistant,Joe Baker
2000,New Orleans Saints,Defensive assistant/quality control,Winston Moss
2000,New Orleans Saints,Special teams,Al Everest
2000,New Orleans Saints,Special teams assistant,Joe Baker
2000,New Orleans Saints,Strength and conditioning,Rock Gullickson
2000,New Orleans Saints,Assistant strength and conditioning,Evan Marcus
2000,New York Giants,General manager,Ernie Accorsi
2000,New York Giants,Head coach,Jim Fassel
2000,New York Giants,Offensive coordinator/quarterbacks,Sean Payton
2000,New York Giants,Running backs,Mike Gillhamer
2000,New York Giants,Wide receivers,Jimmy Robinson
2000,New York Giants,Tight ends,Mike Pope
2000,New York Giants,Offensive line,Jim McNally
2000,New York Giants,Defensive coordinator,John Fox
2000,New York Giants,Defensive line,Denny Marcin
2000,New York Giants,Linebackers,Tom Olivadotti
2000,New York Giants,Defensive backs,Johnnie Lynn
2000,New York Giants,Defensive quality control,Dave Brazil
2000,New York Giants,Special teams,Larry Mac Duff
2000,New York Giants,Strength and conditioning,John Dunn
2000,New York Giants,Assistant strength and conditioning,Craig Stoddard
2000,New York Jets,Owner,Woody Johnson
2000,New York Jets,Director of football operations,Bill Parcells
2000,New York Jets,Director of pro player development/contract negotiations,Mike Tannenbaum
2000,New York Jets,Head coach,Al Groh
2000,New York Jets,Offensive coordinator,Dan Henning
2000,New York Jets,Running backs,Maurice Carthon
2000,New York Jets,Wide receivers,Todd Haley
2000,New York Jets,Tight ends,Ken Whisenhunt
2000,New York Jets,Assistant offensive line,William Roberts
2000,New York Jets,Defensive coordinator,Mike Nolan
2000,New York Jets,Defensive line,Ray Hamilton
2000,New York Jets,Linebackers,Bob Sutton
2000,New York Jets,Secondary,Todd Bowles
2000,New York Jets,Quality control,Peter Redebaugh
2000,New York Jets,Special teams,Mike Sweatman
2000,New York Jets,Strength and conditioning,John Lott
2000,Philadelphia Eagles,President/Chief Executive Officer,Jeffrey Lurie
2000,Philadelphia Eagles,Executive vice president/chief operating officer,Joe Banner
2000,Philadelphia Eagles,Director of football operations,Tom Modrak
2000,Philadelphia Eagles,Director of college scouting,John Goeller
2000,Philadelphia Eagles,Director of pro personnel,Mike McCartney
2000,Philadelphia Eagles,Head coach,Andy Reid
2000,Philadelphia Eagles,Assistant to the head coach,Sean McDermott
2000,Philadelphia Eagles,Offensive coordinator,Rod Dowhower
2000,Philadelphia Eagles,Quarterbacks,Brad Childress
2000,Philadelphia Eagles,Running backs,Ted Williams
2000,Philadelphia Eagles,Wide receivers,David Culley
2000,Philadelphia Eagles,Tight ends/offensive line,Pat Shurmur
2000,Philadelphia Eagles,Offensive line,Juan Castillo
2000,Philadelphia Eagles,Offensive assistant/quality control,Tom Melvin
2000,Philadelphia Eagles,Defensive coordinator,Jim Johnson
2000,Philadelphia Eagles,Defensive line,Tommy Brasher
2000,Philadelphia Eagles,Linebackers,Ron Rivera
2000,Philadelphia Eagles,Defensive backs,Leslie Frazier
2000,Philadelphia Eagles,Defensive assistant,Steve Spagnuolo
2000,Philadelphia Eagles,Special teams coordinator,John Harbaugh
2000,Philadelphia Eagles,Head athletic trainer,Rick Burkholder
2000,Philadelphia Eagles,Strength and conditioning,Mike Wolf
2000,Philadelphia Eagles,Assistant strength and conditioning,Tom Kanavy
2000,Philadelphia Eagles,Volunteer assistant strength and conditioning,Chris DiSanto
2000,Philadelphia Eagles,Assistant trainer,Eric Sugarman
2000,San Francisco 49ers,Owner,Denise DeBartolo York
2000,San Francisco 49ers,Owner,The DeBartolo Corporation
2000,San Francisco 49ers,Director/owner's representative,John York
2000,San Francisco 49ers,President/chief executive officer,Peter L. Harris
2000,San Francisco 49ers,Vice president/general manager,Bill Walsh
2000,San Francisco 49ers,Vice president/director of football operations,John McVay
2000,San Francisco 49ers,Assistant general manager,Terry Donahue
2000,San Francisco 49ers,Director of pro personnel,Bill McPherson
2000,San Francisco 49ers,Head coach,Steve Mariucci
2000,San Francisco 49ers,Offensive coordinator,Marty Mornhinweg
2000,San Francisco 49ers,Quarterbacks,Greg Knapp
2000,San Francisco 49ers,Running backs,Tom Rathman
2000,San Francisco 49ers,Wide receivers,George Stewart
2000,San Francisco 49ers,Tight ends,Tom Batta
2000,San Francisco 49ers,Offensive line,Patrick Morris
2000,San Francisco 49ers,Offensive assistant,Andy Sugarman
2000,San Francisco 49ers,Defensive coordinator,Jim Mora
2000,San Francisco 49ers,Defensive line,Dwaine Board
2000,San Francisco 49ers,Linebackers,Richard Smith
2000,San Francisco 49ers,Assistant secondary,Brett Maxie
2000,San Francisco 49ers,Defensive assistant,Chris Beake
2000,San Francisco 49ers,Defensive quality control,Joe Barry
2000,San Francisco 49ers,Special teams,Bruce DeHaven
2000,San Francisco 49ers,Physical development coordinator,Jerry Attaway
2000,Seattle Seahawks,Chairman,Paul Allen
2000,Seattle Seahawks,President,Bob Whitsitt
2000,Seattle Seahawks,Senior vice president,Mike Reinfeldt
2000,Seattle Seahawks,Vice president of football operations,Ted Thompson
2000,Seattle Seahawks,Director of player personnel,John Schneider
2000,Seattle Seahawks,Director of pro personnel,Will Lewis
2000,Seattle Seahawks,Director of college scouting,Scot McCloughan
2000,Seattle Seahawks,Assistant to the general manager,Gary Reynolds
2000,Seattle Seahawks,Pro personnel assistant,John Jamison
2000,Seattle Seahawks,Administrative assistant/football operations/travel,Bill Nayes
2000,Seattle Seahawks,Assistant head coach/offensive line,Tom Lovat
2000,Seattle Seahawks,Offensive coordinator,Gil Haskell
2000,Seattle Seahawks,Quarterbacks,Mike Sheppard
2000,Seattle Seahawks,Running backs,Stump Mitchell
2000,Seattle Seahawks,Wide receivers,Nolan Cromwell
2000,Seattle Seahawks,Tight ends,Jim Lind
2000,Seattle Seahawks,Offensive quality control,Jerry Colquitt
2000,Seattle Seahawks,Defensive coordinator,Steve Sidwell
2000,Seattle Seahawks,Defensive line,Larry Brooks
2000,Seattle Seahawks,Linebackers,Ken Flajole
2000,Seattle Seahawks,Defensive backs,Dick Roach
2000,Seattle Seahawks,Defensive quality control,Clayton Lopez
2000,Seattle Seahawks,Special teams coordinator,Pete Rodriguez
2000,Seattle Seahawks,Assistant special teams/strength and conditioning,Johnny Holland
2000,Seattle Seahawks,Strength and conditioning,Kent Johnston
2000,Seattle Seahawks,Assistant strength and conditioning,Rod Springer
2000,Tampa Bay Buccaneers,Owner/President,Malcolm Glazer
2000,Tampa Bay Buccaneers,General manager,Rich McKay
2000,Tampa Bay Buccaneers,Head coach,Tony Dungy
2000,Tampa Bay Buccaneers,Assistant head coach/defensive backs,Herman Edwards
2000,Tampa Bay Buccaneers,Offensive coordinator,Les Steckel
2000,Tampa Bay Buccaneers,Quarterbacks,Clyde Christensen
2000,Tampa Bay Buccaneers,Running backs,Tony Nathan
2000,Tampa Bay Buccaneers,Wide receivers,Charlie Williams
2000,Tampa Bay Buccaneers,Tight ends,Ricky Thomas
2000,Tampa Bay Buccaneers,Offensive line,Chris Foerster
2000,Tampa Bay Buccaneers,Offensive assistant,Wendell Avery
2000,Tampa Bay Buccaneers,Defensive coordinator,Monte Kiffin
2000,Tampa Bay Buccaneers,Defensive line,Rod Marinelli
2000,Tampa Bay Buccaneers,Linebackers,Lovie Smith
2000,Tampa Bay Buccaneers,Defensive assistant,Kevin O'Dea
2000,Tampa Bay Buccaneers,Special teams,Joe Marciano
2000,Tampa Bay Buccaneers,Strength and conditioning,Mark Asanovich
2000,Tampa Bay Buccaneers,Assistant strength and conditioning,Les Ebert
2000,Tennessee Titans,Founder/owner/chairman of the board/CEO,Bud Adams
2000,Tennessee Titans,President/chief operating officer,Jeff Diamond
2000,Tennessee Titans,Executive vice president/general manager,Floyd Reese
2000,Tennessee Titans,Director of player personnel,Rich Snead
2000,Tennessee Titans,Executive vice president/head coach,Jeff Fisher
2000,Tennessee Titans,Assistant head coach/offense,George Henshaw
2000,Tennessee Titans,Offensive coordinator,Mike Heimerdinger
2000,Tennessee Titans,Running backs,Sherman Smith
2000,Tennessee Titans,Wide receivers,Steve Walters
2000,Tennessee Titans,Offensive line,Mike Munchak
2000,Tennessee Titans,Offensive assistant/quality control,Craig Johnson
2000,Tennessee Titans,Defensive coordinator,Gregg Williams
2000,Tennessee Titans,Defensive line,Jim Washburn
2000,Tennessee Titans,Linebackers/third down package,Jim Schwartz
2000,Tennessee Titans,Defensive backs,Jerry Gray
2000,Tennessee Titans,Defensive assistant/quality control,Ronnie Vinklarek
2000,Tennessee Titans,Special teams,Alan Lowry
2000,Tennessee Titans,Strength and conditioning,Steve Watterson
2000,St. Louis Rams,Chairman,Georgia Frontiere
2000,St. Louis Rams,Vice chairman,Stan Kroenke
2000,St. Louis Rams,President,John Shaw
2000,St. Louis Rams,President of football operations,Jay Zygmunt
2000,St. Louis Rams,Senior vice president of administration,Bob Wallace
2000,St. Louis Rams,Director of scouting,Lawrence McCutcheon
2000,St. Louis Rams,Administrator of pro personnel,Jack Faulkner
2000,St. Louis Rams,Head coach,Mike Martz
2000,St. Louis Rams,Associate head coach / wide receivers,Al Saunders
2000,St. Louis Rams,Assistant head coach / offensive line,John Matsko
2000,St. Louis Rams,Offensive coordinator/running backs,Bobby Jackson
2000,St. Louis Rams,Quarterbacks,John Ramsdell
2000,St. Louis Rams,Tight ends,Wilbert Montgomery
2000,St. Louis Rams,Offensive line,Jim Hanifan
2000,St. Louis Rams,Offensive assistant,Ken Zampese
2000,St. Louis Rams,Defensive coordinator,Peter Giunta
2000,St. Louis Rams,Defensive line,Carl Hairston
2000,St. Louis Rams,Linebackers,Mike Haluchak
2000,St. Louis Rams,Secondary,Steve Brown
