caller,seasons,n,actual,resid,epa_all,epa_run,epa_pass
Aaron Glenn,3,3383,30.7123854566952,6.81964954015958,0.00225814054132272,-0.00685707479441539,0.00839355501804995
Al Golden,1,1048,28.3396946564886,3.07757060269242,0.0803391186925686,0.0512966684965972,0.104787859718703
Al Holcomb,1,764,26.1780104712042,1.18963869406809,-0.0258177399089199,-0.0633340152548397,0.00240551310360698
Alan Williams,1,1043,33.6529242569511,5.29615080833687,0.0726370849494717,-0.00499329367027558,0.156472378378969
Anthony Campanile,1,1098,24.9544626593807,5.48136122830092,-0.126546641561086,-0.0530872845067348,-0.167821813732449
Anthony Weaver,2,2035,30.2702702702703,5.41867700749804,-0.00801419116080716,-0.0457636370159497,0.0204035656672681
Bill Belichick,2,2182,11.0907424381302,-15.5696337475746,-0.125486303269919,-0.170093108660994,-0.0929067094830994
Brandon Staley,3,3060,29.4444444444445,3.76065172522871,-0.0390167301121997,-0.0331831084731431,-0.0437520144621976
Brian Flores,3,3249,26.2234533702678,2.25603053499345,-0.0870057301685807,-0.10856848348085,-0.0709032224531283
Chris Shula,2,2471,30.7163091865642,8.53179994632671,-0.0332814355928088,-0.0264579440228057,-0.0383737374287975
Clint Hurtt,2,2328,21.3058419243986,-4.45770832806584,0.00604411187466487,-0.00596289937310679,0.0163098673080199
Dan Quinn,3,2778,9.89920806335493,-13.5992774135239,-0.0776557459967315,-0.0720734539581426,-0.0822025246852505
DeMarcus Covington,1,1068,25.4681647940075,-2.78370549471974,0.0363497816388975,-0.0271498629239183,0.0937371609496773
DeMeco Ryans,4,3904,21.5676229508197,-1.83314093288784,-0.115775572346421,-0.112578542415639,-0.118057561225899
Dean Pees,1,1082,41.3123844731978,14.5328297423519,0.049898455870577,-0.00895967096649129,0.10046385693335
Dennard Wilson,2,2017,27.6152702032722,-1.92217403825652,0.0221408420054452,-0.0249518209135073,0.0645730623169594
Dennis Allen,4,3868,18.0196483971044,-6.35002479058001,-0.0559970809428701,-0.0296191028998562,-0.0768333643854565
Don Martindale,2,2294,27.2013949433304,0.0567017575367055,-0.00746781742480303,0.0450399073394598,-0.0483342946831912
Ed Donatell,1,1186,17.2849915682968,-7.58599651744589,0.0128721044167981,-0.00142843521844286,0.0230455041861679
Ejiro Evero,4,4337,30.7816462992852,3.29832543228907,0.00633433471829816,0.00373946069120668,0.00865171239591251
Gus Bradley,3,3341,19.7844956599821,-6.25057879647065,-0.0409591701678967,-0.0842805158143908,-0.00301346595198853
Jack Del Rio,2,1761,13.7421919363998,-11.0927291274822,-0.0495010338808806,-0.0935736299116643,-0.0171087613301757
Jeff Hafley,2,2231,34.2895562528014,12.0108113202013,-0.0448382421406477,-0.0700228354252133,-0.0256764837141904
Jeff Ulbrich,4,4300,26.4418604651163,1.126563743634,-0.0790893118968228,-0.0486901928616586,-0.105009112228832
Jesse Minter,2,2137,18.9985961628451,-4.70707297972747,-0.0920976462948734,-0.0797571440530915,-0.101162706789041
Jim Schwartz,3,3103,25.7815017724783,-0.193686807778564,-0.135048006642627,-0.118413335206219,-0.148812266576758
Jimmy Lake,1,1067,25.0234301780694,0.0807762644607308,0.0366721068536851,-0.0143735208863791,0.0750611011146863
Joe Barry,2,2205,27.437641723356,2.1569408391668,-0.0128389691396525,0.00127845685783056,-0.0250128643621441
Joe Whitt Jr.,2,1827,10.3448275862069,-14.5680049842108,0.0494968532500505,-0.00179772094944144,0.0955181534664166
Joe Woods,2,1594,34.4416562107905,8.81752633380703,0.00306837441232586,0.0435053329908475,-0.0315313514959553
Jonathan Gannon,1,1222,21.1129296235678,0.705890209450558,-0.108147902136025,0.0128587247865174,-0.196589006232388
Josh Boyer,1,1158,42.5734024179621,18.457590810197,-0.0407671873507592,-0.0630086011078674,-0.0267331685293731
Kelvin Sheppard,1,1050,62.5714285714286,39.6032241638528,-0.0341881123695162,-0.032328258309255,-0.0355614483146775
Leslie Frazier,1,1137,2.81442392260332,-18.503685736158,-0.0810971412489889,-0.105248944931019,-0.0657940587435649
Lou Anarumo,4,4447,18.9565999550258,-4.24354903173554,-0.0294076273130254,-0.0441816332250388,-0.0187460914942125
Lovie Smith,1,1134,33.5097001763669,7.0676202991546,-0.0283332318839542,-0.0212446780547009,-0.0355734125330861
Matt Burke,1,790,27.2151898734177,7.85897920910221,-0.188630349222495,-0.0956639261028476,-0.25225982005705
Matt Eberflus,3,2669,24.5035593855377,0.0435192036545939,-0.00471550109072165,-0.0390296374125268,0.0195436931738969
Mike Caldwell,2,2320,30.1724137931034,5.22183498634117,-0.0654002281664556,-0.0823998374872353,-0.0537377054928967
Mike Macdonald,4,4645,15.5651237890204,-6.03280575235453,-0.117332342557562,-0.110895986860553,-0.121482697983996
Mike Zimmer,1,1046,23.3269598470365,-2.65349684401982,0.0514498417164208,0.115035714013541,-0.00289127609778343
Nick Rallis,3,3196,31.6958698372966,4.72183873647736,0.0487696033283528,-0.00414800322914511,0.0941231592099967
Nick Sorensen,1,1029,27.6967930029154,2.33406876618868,-0.00133719903745313,0.0207958708168983,-0.0203884490386706
Patrick Graham,4,4291,23.0249359123748,-3.98097802553127,-0.0129029008572798,-0.0678075751999711,0.0308920299967152
Raheem Morris,2,2182,26.4436296975252,0.771527400276162,-0.00993838638458172,-0.0454299714965061,0.0155965365525237
Robert Saleh,1,1152,20.4861111111111,-2.24907779158657,0.0397899353944617,-0.0130726427678586,0.0793365985720395
Ryan Nielsen,2,2215,23.0248306997743,-3.23552758828159,0.00590618402028569,-0.0688463530724517,0.0685618375171038
Sean Desai,1,918,18.6274509803922,-5.00141253638079,0.00950503807255189,0.00880240170185875,0.00987923006295494
Sean McDermott,3,3411,9.0002931691586,-13.8145785981182,-0.0624247391407713,-0.0328699124132272,-0.0847543766271517
Shane Bowen,4,4014,22.0478325859492,-4.21730814880473,0.000823365161071666,-0.0476855916898575,0.0361348787361529
Steve Spagnuolo,4,4819,26.2502593899149,3.36905287887776,-0.0583100210571426,-0.0475904777220668,-0.0658827862672965
Steve Wilks,2,2119,23.8319962246343,-0.662034698265367,-0.0309038612464816,-0.0312856861926388,-0.0306268205078603
Teryl Austin,4,4448,30.2158273381295,5.93037759408227,-0.0379221562706331,-0.0636467172561972,-0.0191933966408936
Todd Bowles,4,4482,31.8384649709951,7.75930473994411,-0.029201229974648,-0.0973759430025946,0.0154597526367172
Vance Joseph,4,4526,36.1467079098542,11.840517795956,-0.06842262766277,-0.069044302595307,-0.0679900872544805
Vic Fangio,3,3524,19.2678774120318,-3.4250344541365,-0.115186263786378,-0.0945708553053844,-0.130175615175791
Zach Orr,2,2255,10.6430155210643,-11.6241318842153,-0.0446532061569774,-0.126662827239839,0.00628591146745986
Zak Kuhr,1,1112,25.8093525179856,6.23609247883751,-0.145118593854709,-0.0742632007887288,-0.196042485316349
